country,country_code_2_digit,country_code_3_digit,population,reported_year_week,reported_week_start_date,reported_week_end_date,new_hospital_occupancy_count,new_icu_occupancy_count,source
France,FR,FRA,67012883,2020-W36,2020-08-30,2020-09-05,,0,
Germany,DE,DEU,83019213,2020-W36,2020-08-30,2020-09-05,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W36,2020-08-30,2020-09-05,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W36,2020-08-30,2020-09-05,0,0,
Latvia,LV,LVA,1919968,2020-W36,2020-08-30,2020-09-05,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W36,2020-08-30,2020-09-05,0,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W36,2020-08-30,2020-09-05,,0,
Portugal,PT,PRT,10276617,2020-W36,2020-08-30,2020-09-05,1,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W36,2020-08-30,2020-09-05,41,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W36,2020-08-30,2020-09-05,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W36,2020-08-30,2020-09-05,8,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W36,2020-08-30,2020-09-05,,0,
United Kingdom,UK,GBR,66647112,2020-W36,2020-08-30,2020-09-05,1,,
Belgium,BE,BEL,11455519,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W35,2020-08-23,2020-08-29,4,,
Cyprus,CY,CYP,875899,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W35,2020-08-23,2020-08-29,2,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W35,2020-08-23,2020-08-29,0,,
Estonia,EE,EST,1324820,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W35,2020-08-23,2020-08-29,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W35,2020-08-23,2020-08-29,,0,
Germany,DE,DEU,83019213,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W35,2020-08-23,2020-08-29,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W35,2020-08-23,2020-08-29,0,0,
Latvia,LV,LVA,1919968,2020-W35,2020-08-23,2020-08-29,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national daily data"
Netherlands,NL,NLD,17282163,2020-W35,2020-08-23,2020-08-29,,0,
Portugal,PT,PRT,10276617,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W35,2020-08-23,2020-08-29,39,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W35,2020-08-23,2020-08-29,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W35,2020-08-23,2020-08-29,7,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W35,2020-08-23,2020-08-29,,0,
United Kingdom,UK,GBR,66647112,2020-W35,2020-08-23,2020-08-29,1,,
Belgium,BE,BEL,11455519,2020-W34,2020-08-16,2020-08-22,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W34,2020-08-16,2020-08-22,2,,
Cyprus,CY,CYP,875899,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W34,2020-08-16,2020-08-22,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W34,2020-08-16,2020-08-22,0,,
Estonia,EE,EST,1324820,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national daily data"
Estonia,EE,EST,1324820,2020-W34,2020-08-16,2020-08-22,,0,"TESSy COVID-19, national weekly data"
France,FR,FRA,67012883,2020-W34,2020-08-16,2020-08-22,,0,
Germany,DE,DEU,83019213,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W34,2020-08-16,2020-08-22,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W34,2020-08-16,2020-08-22,0,0,
Latvia,LV,LVA,1919968,2020-W34,2020-08-16,2020-08-22,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W34,2020-08-16,2020-08-22,,0,
Netherlands,NL,NLD,17282163,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W34,2020-08-16,2020-08-22,39,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W34,2020-08-16,2020-08-22,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W34,2020-08-16,2020-08-22,6,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W34,2020-08-16,2020-08-22,,0,
United Kingdom,UK,GBR,66647112,2020-W34,2020-08-16,2020-08-22,1,,
Belgium,BE,BEL,11455519,2020-W33,2020-08-09,2020-08-15,2,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W33,2020-08-09,2020-08-15,1,,
Cyprus,CY,CYP,875899,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W33,2020-08-09,2020-08-15,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W33,2020-08-09,2020-08-15,0,,
Estonia,EE,EST,1324820,2020-W33,2020-08-09,2020-08-15,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W33,2020-08-09,2020-08-15,,0,
Germany,DE,DEU,83019213,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W33,2020-08-09,2020-08-15,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W33,2020-08-09,2020-08-15,0,0,
Latvia,LV,LVA,1919968,2020-W33,2020-08-09,2020-08-15,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W33,2020-08-09,2020-08-15,,0,
Netherlands,NL,NLD,17282163,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W33,2020-08-09,2020-08-15,22,,"TESSy COVID-19, national weekly data"
Slovenia,SI,SVN,2080908,2020-W33,2020-08-09,2020-08-15,0,,"TESSy COVID-19, national weekly data"
Spain,ES,ESP,46937060,2020-W33,2020-08-09,2020-08-15,4,0,"TESSy COVID-19, national weekly data"
Sweden,SE,SWE,10230185,2020-W33,2020-08-09,2020-08-15,,0,
United Kingdom,UK,GBR,66647112,2020-W33,2020-08-09,2020-08-15,1,,
Belgium,BE,BEL,11455519,2020-W32,2020-08-02,2020-08-08,1,,"TESSy COVID-19, national weekly data"
Croatia,HR,HRV,4076246,2020-W32,2020-08-02,2020-08-08,1,,
Cyprus,CY,CYP,875899,2020-W32,2020-08-02,2020-08-08,0,0,"TESSy COVID-19, national daily data"
Czechia,CZ,CZE,10649800,2020-W32,2020-08-02,2020-08-08,1,0,"TESSy COVID-19, national weekly data"
Denmark,DK,DNK,5806081,2020-W32,2020-08-02,2020-08-08,0,,
Estonia,EE,EST,1324820,2020-W32,2020-08-02,2020-08-08,,0,"TESSy COVID-19, national weekly data"
Estonia,EE,EST,1324820,2020-W32,2020-08-02,2020-08-08,0,,"TESSy COVID-19, national daily data"
France,FR,FRA,67012883,2020-W32,2020-08-02,2020-08-08,,0,
Germany,DE,DEU,83019213,2020-W32,2020-08-02,2020-08-08,0,,"TESSy COVID-19, national daily data"
Greece,EL,GRC,10724599,2020-W32,2020-08-02,2020-08-08,,0,"TESSy COVID-19, national weekly data"
Ireland,IE,IRL,4904240,2020-W32,2020-08-02,2020-08-08,0,0,
Latvia,LV,LVA,1919968,2020-W32,2020-08-02,2020-08-08,0,0,"TESSy COVID-19, national weekly data"
Netherlands,NL,NLD,17282163,2020-W32,2020-08-02,2020-08-08,,0,
Netherlands,NL,NLD,17282163,2020-W32,2020-08-02,2020-08-08,0,,"TESSy COVID-19, national daily data"
Portugal,PT,PRT,10276617,2020-W32,2020-08-02,2020-08-08,0,,"TESSy COVID-19, national daily data"
Romania,RO,ROU,19414458,2020-W32,2020-08-02,2020-08-08,39,,"TESSy COVID-19, national weekly data"
